 508.00 1023.00
323950176.00 508.00 1023.00
323952000.00 508.00 1023.00
323953792.00 509.00 1023.00
323955616.Start

time_(μs) raw_current raw_low_voltage
316.00 509.00 1023.00
1968.00 508.00 1023.00
3572.00 508.00 1023.00
5180.00 508.00 1023.00
6780.00 507.00 1023.00
8388.00 509.00 1022.00
9988.00 507.00 1023.00
11596.00 508.00 1023.00
13240.00 509.00 1022.00
14888.00 508.00 1023.00
16544.00 508.00 1023.00
18184.00 508.00 1023.00
19840.00 508.00 1023.00
21480.00 508.00 1023.00
23128.00 508.00 1023.00
24784.00 508.00 1023.00
26424.00 509.00 1023.00
28072.00 508.00 1023.00
29720.00 509.00 1023.00
31360.00 508.00 1023.00
33016.00 508.00 1023.00
34656.00 508.00 1023.00
36304.00 508.00 1023.00
37960.00 508.00 1023.00
39604.00 508.00 1023.00
41256.00 508.00 1023.00
42896.00 508.00 1023.00
44544.00 509.00 1023.00
46200.00 508.00 1023.00
47840.00 508.00 1023.00
49496.00 509.00 1023.00
51140.00 508.00 1023.00
52788.00 510.00 1023.00
54440.00 508.00 1023.00
56080.00 508.00 1023.00
57736.00 508.00 1023.00
59376.00 508.00 1023.00
61028.00 508.00 1023.00
62680.00 508.00 1023.00
64332.00 508.00 1023.00
65976.00 509.00 1023.00
67632.00 508.00 1023.00
69284.00 508.00 1023.00
70936.00 508.00 1023.00
72588.00 508.00 1023.00
74244.00 508.00 1023.00
75896.00 508.00 1023.00
77548.00 509.00 1023.00
79204.00 509.00 1023.00
80852.00 508.00 1023.00
82500.00 508.00 1023.00
84152.00 508.00 1023.00
85804.00 509.00 1023.00
87452.00 507.00 1023.00
89108.00 509.00 1023.00
90756.00 508.00 1023.00
92412.00 509.00 1023.00
94060.00 509.00 1023.00
95708.00 508.00 1023.00
97364.00 508.00 1023.00
99012.00 508.00 1023.00
100668.00 508.00 1023.00
102360.00 509.00 1023.00
104056.00 509.00 1023.00
105756.00 509.00 1023.00
107448.00 508.00 1023.00
109144.00 508.00 1023.00
110844.00 508.00 1023.00
112536.00 508.00 1023.00
114232.00 508.00 1023.00
115936.00 508.00 1023.00
117624.00 508.00 1023.00
119320.00 508.00 1023.00
121024.00 509.00 1023.00
122712.00 508.00 1023.00
124408.00 509.00 1023.00
126108.00 508.00 1023.00
127800.00 509.00 1023.00
129496.00 508.00 1023.00
131196.00 509.00 1023.00
132868.00 508.00 1023.00
134544.00 508.00 1023.00
136224.00 508.00 1023.00
137896.00 508.00 1022.00
139576.00 509.00 1023.00
141252.00 508.00 1023.00
142920.00 509.00 1022.00
144600.00 508.00 1023.00
146272.00 509.00 1023.00
147944.00 508.00 1023.00
149624.00 508.00 1023.00
151300.00 508.00 1023.00
152976.00 508.00 1023.00
154656.00 508.00 1023.00
156328.00 508.00 1023.00
158008.00 508.00 1023.00
