
104355308 023
104349308 508 1023
104350308 508 1023
104351308 508 1023
104352308 508 1023
104353308 509 1023
104354308 508 1023
104355308 1023
Start

time_(μs) raw_current raw_low_voltage
316 517 977
1092 513 970
1816 513 977
2544 510 980
3272 509 987
3992 509 994
4712 509 999
5440 508 1006
6208 508 1009
6972 508 1005
7740 508 1003
8512 508 1001
9280 509 1005
10044 508 1007
10856 508 1010
11668 508 1013
12484 508 1017
13296 509 1021
14104 509 1023
14916 509 1023
15732 509 1023
16548 508 1023
17360 509 1023
18168 509 1023
18980 508 1023
19796 508 1023
20612 508 1023
21424 508 1023
22232 508 1023
23044 509 1023
23860 508 1023
24676 508 1023
25488 508 1023
26296 508 1023
27108 508 1023
27924 508 1023
28740 509 1023
29552 509 1023
30360 509 1023
31176 508 1023
31992 508 1023
32808 509 1023
33616 508 1023
34424 508 1023
35236 509 1023
36052 508 1023
36868 508 1023
37680 508 1023
38488 509 1023
39300 508 1023
40120 508 1023
40928 508 1023
41736 509 1023
42548 509 1023
43364 508 1023
44180 508 1023
44992 508 1023
45800 508 1023
46612 508 1023
47428 508 1023
48248 508 1023
49056 509 1023
49864 508 1023
50680 509 1023
51496 509 1023
52308 508 1023
53120 508 1023
53928 509 1023
54740 508 1023
55556 509 1023
56376 508 1023
57184 508 1023
57992 508 1023
58808 508 1023
59624 508 1023
60440 508 1023
61248 508 1023
62056 508 1023
62872 508 1023
63688 509 1023
64496 508 1023
65304 508 1023
66116 508 1023
66936 508 1023
67748 509 1023
68560 509 1023
69368 509 1023
70180 508 1023
71000 508 1023
71816 508 1023
72624 509 1023
73432 509 1023
74248 508 1023
75060 508 1023
75880 509 1023
76688 508 1023
77504 509 1023
78320 508 1023
79136 509 1023
79952 508 1023
80760 508 1023
81568 508 1023
82384 509 1023
83196 508 1023
84016 508 1023
84824 508 1023
85632 508 1023
86448 509 1023
87260 508 1023
88076 508 1023
88888 508 1023
89696 509 1023
90508 508 1023
91328 508 1023
92136 509 1023
92944 509 1023
93760 508 1023
94572 509 1023
95392 510 1023
96200 509 1023
97008 508 1023
97824 508 1023
98640 508 1023
99456 508 1023
100264 508 1023
101116 508 1023
101980 508 1023
102836 508 1023
103688 508 1023
104544 510 1023
105396 508 1023
106252 508 1023
107112 509 1023
107972 508 1023
108824 509 1023
109680 508 1023
110532 508 1023
111388 508 1023
112248 508 1023
113104 508 1023
113960 508 1023
114816 509 1023
115668 508 1023
116524 509 1023
117380 508 1023
118244 509 1023
119096 508 1023
119952 508 1023
120804 508 1023
121660 508 1023
122516 509 1023
123380 509 1023
124232 508 1023
125088 508 1023
125940 508 1023
126796 508 1023
127652 509 1023
128516 509 1023
129368 508 1023
130224 509 1023
131080 509 1023
131932 508 1023
132788 508 1023
133648 508 1023
134504 508 1023
135360 510 1023
136216 509 1023
137068 508 1023
137924 508 1023
138784 508 1023
139640 509 1023
140496 509 1023
141352 508 1023
142204 508 1023
143060 508 1023
143924 508 1023
144776 509 1023
145632 508 1023
146488 509 1023
147340 508 1023
148196 509 1023
149056 509 1023
149912 508 1023
150772 508 1023
151628 508 1023
152476 509 1023
153332 508 1023
154196 508 1023
155056 508 1023
155912 508 1023
156772 509 1023
157620 509 1023
158476 508 1023
159340 508 1023
160196 508 1023
161048 508 1023
161904 509 1023
162756 509 1023
163612 508 1023
164472 508 1023
165328 508 1023
166184 508 1023
167040 508 1023
167892 508 1023
168740 508 1023
169596 508 1023
170456 508 1023
171312 508 1023
172168 509 1023
173020 509 1023
173876 509 1023
174732 508 1023
175592 509 1023
176452 509 1023
177304 508 1023
178156 508 1023
179012 508 1023
179868 508 1023
180728 508 1023
181584 508 1023
182444 508 1023
183292 508 1023
184148 508 1023
185004 509 1023
185864 509 1023
186720 508 1023
187576 509 1023
188432 510 1023
189284 509 1023
190140 508 1023
191004 508 1023
191860 508 1023
192716 509 1023
193576 509 1023
194428 509 1023
195284 509 1023
196144 509 1023
197000 508 1023
197860 510 1023
198716 509 1023
199564 508 1023
200420 508 1023
201280 508 1023
202136 510 1023
202996 508 1023
203852 508 1023
204700 508 1023
205556 508 1023
206416 509 1023
207272 509 1023
208128 508 1023
208984 508 1023
209836 509 1023
210684 508 1023
211544 509 1023
212400 508 1023
213256 508 1023
214112 509 1023
214964 509 1023
215820 509 1023
216684 508 1023
217536 509 1023
218396 508 1023
219248 508 1023
220100 508 1023
220956 508 1023
221816 508 1023
222672 509 1023
223532 508 1023
224388 508 1023
225236 508 1023
226092 508 1023
226948 508 1023
227808 508 1023
228668 509 1023
229520 509 1023
230372 508 1023
231228 509 1023
232084 508 1023
232944 509 1023
233804 509 1023
234656 508 1023
235508 508 1023
236364 508 1023
237220 508 1023
238084 508 1023
238936 508 1023
239796 509 1023
240652 509 1023
241508 508 1023
242364 508 1023
243228 510 1023
244080 508 1023
244936 508 1023
245796 508 1023
246644 508 1023
247500 509 1023
248364 508 1023
249216 509 1023
250076 509 1023
250932 509 1023
251780 508 1023
252636 509 1023
253500 509 1023
254356 509 1023
255212 509 1023
256076 509 1023
256932 508 1023
257780 508 1023
258632 508 1023
259488 508 1023
260344 508 1023
261200 508 1023
262052 509 1023
262900 508 1023
263760 509 1023
264616 508 1023
265472 508 1023
266332 508 1023
267180 508 1023
268036 508 1023
268896 509 1023
269752 508 1023
270608 508 1023
271464 508 1023
272316 508 1023
273172 509 1023
274036 508 1023
274888 508 1023
275744 508 1023
276604 508 1023
277452 508 1023
278308 508 1023
279164 508 1023
280028 508 1023
280880 508 1023
281740 509 1023
282588 509 1023
283444 508 1023
284300 509 1023
285164 508 1023
286020 508 1023
286876 508 1023
287724 508 1023
288580 508 1023
289436 508 1023
290296 509 1023
291152 508 1023
292012 509 1023
292872 509 1023
293724 509 1023
294580 509 1023
295440 509 1023
296300 509 1023
297156 508 1023
298012 509 1023
298860 509 1023
299716 508 1023
300580 508 1023
301436 508 1023
302300 508 1023
303164 509 1023
304012 508 1023
304868 508 1023
305732 508 1023
306588 508 1023
307452 509 1023
308304 508 1023
