 508 1023
189022500 508 1023
189023500 508 1023
189024500 508 1023
189025500 508 1023
189026500 508 1023
189027500 508 
89021500 508 1023
189022500 508 1023
189023500 508 1023
189024500 508 1023
189025500 508 1023
189026500 508 1023
189027500 508 
Start

time_(μs) raw_current raw_low_voltage
316 517 974
1092 514 971
1816 512 971
2544 509 973
3272 509 982
3992 509 991
4712 509 1006
5484 508 1001
6248 508 997
6968 508 994
7688 508 990
8416 508 987
9136 508 985
9856 508 985
10584 508 988
11352 508 989
12116 508 995
12884 508 1002
13700 509 1007
14516 508 1008
15328 508 1013
16136 508 1011
16948 509 1013
17764 509 1013
18580 508 1012
19392 508 1014
20200 508 1015
21012 509 1019
21828 508 1022
22644 508 1023
23456 508 1023
24264 508 1023
25076 509 1023
25896 509 1023
26708 509 1023
27520 508 1023
28328 508 1023
29140 509 1023
29956 508 1023
30776 509 1023
31584 508 1023
32392 508 1023
33204 508 1023
34020 508 1023
34836 508 1023
35648 508 1023
36456 508 1023
37272 509 1023
38088 509 1023
38896 509 1023
39704 508 1023
40516 508 1023
41332 509 1023
42148 509 1023
42960 508 1023
43768 510 1023
44580 508 1023
45396 508 1023
46216 508 1023
47024 508 1023
47832 508 1023
48648 509 1023
49460 508 1023
50280 508 1023
51088 509 1023
51896 508 1023
52708 508 1023
53524 508 1023
54344 508 1023
55152 508 1023
55960 508 1023
56776 509 1023
57592 509 1023
58408 508 1023
59216 509 1023
60024 508 1023
60840 508 1023
61652 508 1023
62468 508 1023
63280 509 1023
64088 508 1023
64900 508 1023
65716 508 1023
66528 508 1023
67336 509 1023
68148 508 1023
68968 508 1023
69780 508 1023
70592 509 1023
71400 508 1023
72216 508 1023
73028 508 1023
73848 508 1023
74656 508 1023
75464 508 1023
76280 509 1023
77096 508 1023
77912 509 1023
78720 509 1023
79528 509 1023
80344 508 1023
81156 508 1023
81976 508 1023
82784 508 1023
83592 509 1023
84404 509 1023
85220 508 1023
86040 508 1023
86848 508 1023
87656 509 1023
88472 508 1023
89288 508 1023
90096 508 1023
90904 508 1023
91716 508 1023
92536 508 1023
93352 508 1023
94160 509 1023
94968 508 1023
95784 508 1023
96600 509 1023
97416 508 1023
98224 508 1023
99032 508 1023
99848 508 1023
100664 508 1023
101520 508 1023
102372 509 1023
103228 508 1023
104084 508 1023
104936 509 1023
105792 508 1023
106648 508 1023
107500 508 1023
108348 508 1023
109204 508 1023
110064 508 1023
110920 509 1023
111776 509 1023
112628 508 1023
113484 508 1023
114340 508 1023
115200 509 1023
116056 508 1023
