
Start

time_(μs) raw_current raw_low_voltage
316.00 506.00 942.00
1924.00 506.00 934.00
3480.00 510.00 936.00
5040.00 510.00 942.00
6604.00 512.00 951.00
8160.00 506.00 960.00
9720.00 506.00 968.00
11288.00 508.00 971.00
12884.00 509.00 976.00
14492.00 507.00 983.00
16092.00 508.00 988.00
17700.00 506.00 992.00
19300.00 506.00 997.00
20900.00 508.00 1003.00
22548.00 507.00 1008.00
24192.00 510.00 1016.00
25848.00 507.00 1020.00
27488.00 509.00 1023.00
29128.00 506.00 1023.00
30784.00 505.00 1023.00
32424.00 509.00 1023.00
34080.00 513.00 1023.00
35720.00 508.00 1023.00
37372.00 504.00 1023.00
39024.00 510.00 1023.00
40668.00 506.00 1023.00
42320.00 508.00 1023.00
43960.00 503.00 1023.00
45612.00 505.00 1023.00
47264.00 507.00 1023.00
48908.00 510.00 1023.00
50560.00 507.00 1023.00
52204.00 508.00 1023.00
53848.00 505.00 1023.00
55504.00 508.00 1023.00
57148.00 508.00 1023.00
58796.00 508.00 1023.00
60448.00 505.00 1023.00
62100.00 509.00 1023.00
63752.00 506.00 1023.00
65396.00 507.00 1023.00
67040.00 509.00 1023.00
68696.00 509.00 1023.00
70348.00 507.00 1023.00
72004.00 508.00 1023.00
73652.00 509.00 1023.00
75300.00 504.00 1023.00
76956.00 509.00 1023.00
78604.00 510.00 1023.00
80260.00 509.00 1023.00
81908.00 507.00 1023.00
83556.00 511.00 1023.00
85208.00 507.00 1023.00
86860.00 508.00 1023.00
88508.00 506.00 1023.00
90160.00 507.00 1023.00
91812.00 507.00 1023.00
93468.00 507.00 1023.00
95116.00 508.00 1023.00
96772.00 510.00 1023.00
98428.00 510.00 1023.00
100076.00 507.00 1023.00
101772.00 509.00 1023.00
103472.00 508.00 1023.00
105160.00 505.00 1023.00
106860.00 509.00 1023.00
108556.00 505.00 1023.00
110248.00 513.00 1023.00
111948.00 507.00 1023.00
113640.00 508.00 1023.00
115336.00 506.00 1022.00
117036.00 507.00 1023.00
118728.00 505.00 1023.00
120424.00 508.00 1023.00
122124.00 513.00 1023.00
123816.00 509.00 1023.00
125512.00 507.00 1023.00
127212.00 506.00 1023.00
128904.00 506.00 1023.00
