1200346880.Start

time_(μs) raw_current raw_low_voltage
316.00 516.00 980.00
1924.00 510.00 969.00
3480.00 509.00 952.00
5040.00 508.00 955.00
6600.00 508.00 978.00
8160.00 508.00 985.00
9720.00 508.00 973.00
11288.00 508.00 970.00
12884.00 508.00 982.00
14492.00 508.00 999.00
16092.00 509.00 1013.00
17740.00 508.00 990.00
19340.00 508.00 989.00
20940.00 508.00 993.00
22548.00 508.00 1005.00
24192.00 508.00 1016.00
25848.00 508.00 1014.00
27488.00 508.00 1011.00
29128.00 508.00 1012.00
30784.00 508.00 1016.00
32424.00 508.00 1023.00
34080.00 508.00 1023.00
35720.00 508.00 1023.00
37372.00 508.00 1023.00
39024.00 508.00 1023.00
40668.00 508.00 1023.00
42320.00 508.00 1023.00
43960.00 507.00 1023.00
45608.00 508.00 1023.00
47264.00 508.00 1023.00
48908.00 508.00 1023.00
50560.00 508.00 1023.00
52204.00 508.00 1023.00
53848.00 508.00 1023.00
55504.00 508.00 1023.00
57148.00 508.00 1023.00
58796.00 508.00 1023.00
60448.00 508.00 1023.00
62100.00 509.00 1023.00
63752.00 508.00 1023.00
65396.00 508.00 1023.00
67040.00 508.00 1023.00
68696.00 508.00 1023.00
70348.00 508.00 1023.00
72004.00 508.00 1023.00
73652.00 508.00 1023.00
75300.00 508.00 1023.00
76956.00 508.00 1023.00
78604.00 508.00 1023.00
80260.00 508.00 1023.00
81908.00 508.00 1023.00
83556.00 508.00 1023.00
85208.00 508.00 1023.00
86860.00 509.00 1023.00
88508.00 508.00 1023.00
90160.00 508.00 1023.00
91812.00 509.00 1023.00
93468.00 508.00 1023.00
95116.00 508.00 1023.00
96764.00 509.00 1023.00
98420.00 508.00 1023.00
100068.00 508.00 1023.00
101764.00 508.00 1023.00
103460.00 508.00 1023.00
105152.00 508.00 1023.00
106852.00 508.00 1023.00
108548.00 508.00 1023.00
110240.00 509.00 1023.00
111940.00 508.00 1023.00
113632.00 508.00 1023.00
115328.00 508.00 1023.00
117028.00 508.00 1023.00
118720.00 508.00 1023.00
120416.00 508.00 1023.00
122116.00 508.00 1023.00
123808.00 508.00 1023.00
125504.00 508.00 1023.00
127204.00 508.00 1023.00
128896.00 508.00 1023.00
130592.00 509.00 1023.00
132292.00 508.00 1023.00
133960.00 508.00 1023.00
135632.00 509.00 1023.00
137312.00 508.00 1023.00
138988.00 508.00 1023.00
140664.00 508.00 1023.00
142344.00 508.00 1023.00
144020.00 508.00 1023.00
145696.00 508.00 1023.00
147368.00 508.00 1023.00
149040.00 508.00 1023.00
150720.00 508.00 1023.00
152396.00 508.00 1023.00
154068.00 508.00 1023.00
155744.00 508.00 1023.00
157420.00 508.00 1023.00
159096.00 508.00 1023.00
160776.00 508.00 1023.00
162448.00 508.00 1023.00
164128.00 508.00 1023.00
165800.00 508.00 1023.00
167472.00 508.00 1023.00
169152.00 508.00 1023.00
170824.00 508.00 1023.00
172496.00 509.00 1023.00
174176.00 508.00 1023.00
175848.00 508.00 1023.00
177528.00 509.00 1023.00
179208.00 508.00 1023.00
180880.00 508.00 1023.00
182560.00 508.00 1023.00
184232.00 508.00 1023.00
185908.00 508.00 1023.00
187584.00 508.00 1023.00
189260.00 508.00 1023.00
190932.00 508.00 1023.00
192608.00 508.00 1023.00
194280.00 508.00 1023.00
195960.00 509.00 1023.00
197640.00 508.00 1023.00
199312.00 508.00 1023.00
200992.00 508.00 1023.00
202664.00 508.00 1023.00
204340.00 508.00 1023.00
206016.00 508.00 1023.00
207688.00 508.00 1023.00
209360.00 508.00 1023.00
211040.00 508.00 1023.00
212712.00 508.00 1023.00
214392.00 508.00 1023.00
216072.00 508.00 1023.00
217744.00 508.00 1023.00
219424.00 508.00 1023.00
221100.00 508.00 1023.00
222772.00 508.00 1023.00
224448.00 508.00 1023.00
226120.00 507.00 1023.00
227792.00 508.00 1023.00
229472.00 508.00 1023.00
231148.00 508.00 1023.00
232824.00 508.00 1023.00
234504.00 508.00 1023.00
236180.00 508.00 1023.00
237856.00 508.00 1023.00
239532.00 508.00 1023.00
241204.00 508.00 1023.00
242880.00 508.00 1023.00
244556.00 508.00 1023.00
246228.00 508.00 1023.00
247904.00 508.00 1023.00
249580.00 508.00 1023.00
251256.00 508.00 1023.00
252936.00 508.00 1023.00
254612.00 508.00 1023.00
256288.00 508.00 1023.00
257960.00 508.00 1023.00
259632.00 508.00 1023.00
261312.00 508.00 1023.00
262984.00 508.00 1023.00
264656.00 508.00 1023.00
266336.00 508.00 1023.00
268008.00 508.00 1023.00
269688.00 508.00 1023.00
271368.00 508.00 1023.00
273040.00 509.00 1023.00
274720.00 508.00 1023.00
276392.00 508.00 1023.00
278068.00 509.00 1023.00
279744.00 508.00 1023.00
281420.00 508.00 1023.00
283092.00 510.00 1023.00
284768.00 507.00 1023.00
286444.00 508.00 1023.00
288120.00 508.00 1023.00
289800.00 509.00 1023.00
291464.00 508.00 1023.00
293144.00 508.00 1023.00
294816.00 508.00 1023.00
296488.00 508.00 1023.00
298168.00 508.00 1023.00
299844.00 508.00 1023.00
301516.00 508.00 1023.00
303192.00 508.00 1023.00
304868.00 508.00 1023.00
306544.00 508.00 1023.00
308220.00 508.00 1023.00
309896.00 507.00 1023.00
311576.00 508.00 1023.00
313252.00 508.00 1023.00
314924.00 508.00 1023.00
316600.00 508.00 1023.00
318276.00 507.00 1023.00
319948.00 508.00 1023.00
321624.00 508.00 1023.00
323296.00 508.00 1023.00
324976.00 508.00 1023.00
326648.00 508.00 1023.00
328328.00 508.00 1023.00
330008.00 508.00 1023.00
331672.00 508.00 1023.00
333348.00 508.00 1023.00
335024.00 508.00 1023.00
336700.00 508.00 1023.00
338368.00 508.00 1023.00
340048.00 508.00 1023.00
341720.00 508.00 1023.00
343400.00 508.00 1023.00
345072.00 508.00 1023.00
346748.00 508.00 1023.00
348424.00 508.00 1023.00
350096.00 508.00 1023.00
351768.00 508.00 1023.00
353448.00 509.00 1023.00
355120.00 508.00 1023.00
356796.00 508.00 1023.00
358472.00 508.00 1023.00
360144.00 508.00 1023.00
361824.00 508.00 1023.00
363496.00 509.00 1023.00
365172.00 508.00 1023.00
366848.00 508.00 1023.00
368524.00 508.00 1023.00
370196.00 509.00 1023.00
371872.00 508.00 1023.00
373548.00 509.00 1023.00
375220.00 509.00 1023.00
376896.00 508.00 1023.00
378572.00 508.00 1023.00
380248.00 508.00 1023.00
381924.00 508.00 1023.00
383596.00 508.00 1023.00
385276.00 508.00 1023.00
386948.00 508.00 1023.00
388620.00 508.00 1023.00
390296.00 508.00 1023.00
391972.00 508.00 1023.00
393644.00 508.00 1023.00
395320.00 508.00 1023.00
396996.00 508.00 1023.00
398672.00 508.00 1023.00
400348.00 508.00 1023.00
402016.00 509.00 1023.00
403696.00 507.00 1023.00
405372.00 508.00 1023.00
407044.00 508.00 1023.00
408720.00 508.00 1023.00
410396.00 508.00 1023.00
412072.00 508.00 1023.00
413752.00 508.00 1023.00
415424.00 508.00 1023.00
417104.00 508.00 1023.00
418776.00 508.00 1023.00
420448.00 508.00 1023.00
422128.00 508.00 1023.00
423804.00 508.00 1023.00
425472.00 508.00 1023.00
427152.00 508.00 1023.00
428828.00 508.00 1023.00
430504.00 508.00 1023.00
432184.00 508.00 1023.00
433856.00 507.00 1023.00
435536.00 508.00 1023.00
437208.00 508.00 1023.00
438880.00 508.00 1023.00
440560.00 508.00 1023.00
442232.00 508.00 1023.00
443908.00 508.00 1023.00
445584.00 508.00 1023.00
447260.00 508.00 1023.00
448936.00 508.00 1023.00
450616.00 508.00 1023.00
452288.00 508.00 1023.00
453968.00 508.00 1023.00
455644.00 508.00 1023.00
457316.00 508.00 1023.00
458992.00 508.00 1023.00
460668.00 508.00 1023.00
462340.00 508.00 1023.00
464016.00 508.00 1023.00
465688.00 508.00 1023.00
467368.00 508.00 1023.00
469048.00 508.00 1023.00
470724.00 508.00 1023.00
472400.00 508.00 1023.00
474076.00 508.00 1023.00
475748.00 508.00 1023.00
477424.00 508.00 1023.00
479100.00 508.00 1023.00
480772.00 508.00 1023.00
482448.00 508.00 1023.00
484120.00 508.00 1023.00
485800.00 508.00 1023.00
487480.00 508.00 1023.00
489156.00 508.00 1023.00
490832.00 508.00 1023.00
492508.00 508.00 1023.00
494176.00 508.00 1023.00
495856.00 508.00 1023.00
497532.00 508.00 1023.00
499204.00 508.00 1023.00
500880.00 508.00 1023.00
502552.00 508.00 1023.00
504232.00 508.00 1023.00
505912.00 508.00 1023.00
507588.00 508.00 1023.00
509264.00 508.00 1023.00
510940.00 508.00 1023.00
512612.00 508.00 1023.00
514288.00 508.00 1023.00
515960.00 508.00 1023.00
517632.00 509.00 1023.00
519312.00 508.00 1023.00
520988.00 508.00 1023.00
522664.00 508.00 1023.00
524344.00 508.00 1023.00
526016.00 509.00 1023.00
527696.00 508.00 1023.00
529368.00 508.00 1023.00
531040.00 508.00 1023.00
532720.00 508.00 1023.00
534392.00 508.00 1023.00
536068.00 509.00 1023.00
537744.00 508.00 1023.00
539416.00 509.00 1023.00
541096.00 508.00 1023.00
542776.00 509.00 1023.00
544448.00 508.00 1023.00
546128.00 508.00 1023.00
547796.00 508.00 1023.00
549468.00 508.00 1023.00
551144.00 508.00 1023.00
552820.00 508.00 1023.00
554492.00 508.00 1023.00
556168.00 508.00 1023.00
557844.00 508.00 1023.00
559520.00 508.00 1023.00
561200.00 508.00 1023.00
562876.00 508.00 1023.00
564552.00 508.00 1023.00
566224.00 508.00 1023.00
567900.00 508.00 1023.00
569576.00 509.00 1023.00
571252.00 508.00 1023.00
572924.00 508.00 1023.00
574600.00 508.00 1023.00
576276.00 507.00 1023.00
577952.00 508.00 1023.00
579624.00 508.00 1023.00
581300.00 508.00 1023.00
582976.00 508.00 1023.00
584652.00 508.00 1023.00
586320.00 508.00 1023.00
588000.00 508.00 1023.00
589676.00 508.00 1023.00
591348.00 508.00 1023.00
593024.00 507.00 1023.00
594700.00 508.00 1023.00
596376.00 510.00 1023.00
598056.00 508.00 1023.00
599732.00 508.00 1023.00
601408.00 508.00 1023.00
603084.00 508.00 1023.00
604756.00 508.00 1023.00
606432.00 508.00 1023.00
608108.00 508.00 1023.00
609780.00 509.00 1023.00
611456.00 508.00 1023.00
613132.00 508.00 1023.00
614808.00 509.00 1023.00
616488.00 508.00 1023.00
618160.00 508.00 1023.00
619840.00 508.00 1023.00
621516.00 508.00 1023.00
623188.00 509.00 1023.00
624864.00 508.00 1023.00
626536.00 508.00 1023.00
628212.00 508.00 1023.00
629888.00 508.00 1023.00
631564.00 508.00 1023.00
633240.00 509.00 1023.00
634920.00 508.00 1023.00
636596.00 508.00 1023.00
638272.00 508.00 1023.00
639948.00 508.00 1023.00
641620.00 508.00 1023.00
643296.00 508.00 1023.00
644960.00 508.00 1023.00
646632.00 508.00 1023.00
648312.00 508.00 1023.00
649988.00 508.00 1023.00
651664.00 508.00 1023.00
653344.00 508.00 1023.00
655020.00 508.00 1023.00
656696.00 508.00 1023.00
658368.00 508.00 1023.00
660040.00 508.00 1023.00
661720.00 508.00 1023.00
663384.00 509.00 1023.00
665056.00 508.00 1023.00
666736.00 508.00 1023.00
668408.00 509.00 1023.00
670088.00 508.00 1023.00
671760.00 508.00 1023.00
673436.00 508.00 1023.00
675112.00 509.00 1023.00
676788.00 508.00 1023.00
678460.00 508.00 1023.00
680136.00 508.00 1023.00
681800.00 508.00 1023.00
683472.00 508.00 1023.00
685152.00 508.00 1023.00
686828.00 508.00 1023.00
688504.00 509.00 1023.00
690184.00 508.00 1023.00
691860.00 508.00 1023.00
693536.00 508.00 1023.00
695212.00 509.00 1023.00
696884.00 508.00 1023.00
698560.00 508.00 1023.00
700232.00 508.00 1023.00
701908.00 508.00 1023.00
703584.00 508.00 1023.00
705260.00 508.00 1023.00
706936.00 508.00 1023.00
708616.00 508.00 1023.00
710292.00 508.00 1023.00
711968.00 508.00 1023.00
713644.00 508.00 1023.00
715316.00 508.00 1023.00
716992.00 508.00 1023.00
718664.00 508.00 1023.00
720340.00 508.00 1023.00
722016.00 508.00 1023.00
723688.00 508.00 1023.00
725368.00 509.00 1023.00
727048.00 508.00 1023.00
728720.00 508.00 1023.00
730400.00 508.00 1023.00
732076.00 508.00 1023.00
733748.00 508.00 1023.00
735424.00 508.00 1023.00
737100.00 508.00 1023.00
738772.00 508.00 1023.00
740448.00 508.00 1023.00
742124.00 507.00 1023.00
743800.00 508.00 1023.00
745480.00 508.00 1023.00
747156.00 508.00 1023.00
748832.00 508.00 1023.00
750504.00 508.00 1023.00
752180.00 509.00 1023.00
753856.00 508.00 1023.00
755532.00 508.00 1023.00
757204.00 508.00 1023.00
758880.00 507.00 1023.00
760556.00 508.00 1023.00
762232.00 508.00 1023.00
763912.00 508.00 1023.00
765588.00 508.00 1023.00
767264.00 508.00 1023.00
768940.00 508.00 1023.00
770608.00 508.00 1023.00
772288.00 508.00 1023.00
773964.00 508.00 1023.00
775636.00 508.00 1023.00
777312.00 508.00 1023.00
778988.00 508.00 1023.00
780664.00 508.00 1023.00
782344.00 508.00 1023.00
784020.00 508.00 1023.00
785696.00 508.00 1023.00
787372.00 508.00 1023.00
789044.00 508.00 1023.00
790720.00 508.00 1023.00
792396.00 508.00 1023.00
794068.00 508.00 1023.00
795744.00 508.00 1023.00
797420.00 508.00 1023.00
799096.00 508.00 1023.00
800776.00 508.00 1023.00
802448.00 508.00 1023.00
804128.00 508.00 1023.00
805800.00 508.00 1023.00
807476.00 508.00 1023.00
809152.00 508.00 1023.00
810828.00 508.00 1023.00
812500.00 508.00 1023.00
814176.00 508.00 1023.00
815852.00 508.00 1023.00
817528.00 508.00 1023.00
819208.00 509.00 1023.00
820880.00 508.00 1023.00
822560.00 508.00 1023.00
824224.00 508.00 1023.00
825896.00 508.00 1023.00
827576.00 508.00 1023.00
829248.00 508.00 1023.00
830920.00 508.00 1023.00
832600.00 507.00 1023.00
834272.00 508.00 1023.00
835952.00 509.00 1023.00
837624.00 508.00 1023.00
839304.00 509.00 1023.00
840984.00 508.00 1023.00
842656.00 508.00 1023.00
844328.00 509.00 1023.00
846008.00 508.00 1023.00
847680.00 509.00 1023.00
849352.00 509.00 1023.00
851032.00 508.00 1023.00
852708.00 508.00 1023.00
854384.00 508.00 1023.00
856060.00 507.00 1023.00
857740.00 508.00 1023.00
859416.00 507.00 1023.00
861092.00 509.00 1023.00
862764.00 509.00 1023.00
864440.00 509.00 1023.00
866112.00 508.00 1023.00
867784.00 509.00 1023.00
869464.00 508.00 1023.00
871140.00 508.00 1023.00
872816.00 509.00 1023.00
874488.00 508.00 1023.00
876172.00 509.00 1023.00
877848.00 508.00 1023.00
879524.00 508.00 1023.00
881196.00 509.00 1023.00
882872.00 508.00 1023.00
884548.00 509.00 1023.00
886216.00 508.00 1023.00
887896.00 508.00 1023.00
889572.00 509.00 1023.00
891248.00 508.00 1023.00
892924.00 508.00 1023.00
894604.00 508.00 1023.00
896280.00 508.00 1023.00
897952.00 508.00 1023.00
899628.00 508.00 1023.00
901304.00 509.00 1023.00
902976.00 509.00 1023.00
904648.00 508.00 1023.00
