.0 507.00
58246972.00 508.00 507.00
240120.00 508.00 502.00
58241828.00 508.00 504.00
58243544.00 508.00 505.00
58245260.00 508.00 507.00
58246972.00 508.00 507.00
58248688.00 508.0002.00
58241828.00 508.00 504.00
58243544.00 508.00 505.00
58245260.00 508.00 507.00
58246972.00 508.00 507.00
58248688.00 508.00Start

time_(μs) raw_current raw_low_voltage
316.00 515.00 449.00
1924.00 509.00 485.00
3480.00 510.00 498.00
5040.00 508.00 504.00
6600.00 507.00 506.00
8160.00 508.00 505.00
9720.00 508.00 503.00
11288.00 508.00 500.00
12892.00 508.00 498.00
14500.00 507.00 498.00
16100.00 508.00 499.00
17708.00 508.00 501.00
19308.00 508.00 501.00
20908.00 508.00 503.00
22508.00 508.00 505.00
24108.00 508.00 506.00
25716.00 508.00 508.00
27316.00 508.00 506.00
28924.00 508.00 505.00
30524.00 509.00 502.00
32124.00 508.00 499.00
33724.00 509.00 498.00
35324.00 508.00 499.00
36932.00 508.00 500.00
38536.00 508.00 501.00
40140.00 508.00 503.00
41744.00 508.00 504.00
43348.00 509.00 506.00
44952.00 508.00 507.00
46552.00 508.00 508.00
48156.00 509.00 505.00
49760.00 508.00 503.00
51364.00 508.00 500.00
52964.00 508.00 498.00
54572.00 507.00 498.00
56172.00 507.00 499.00
57776.00 508.00 501.00
59376.00 508.00 502.00
60976.00 508.00 504.00
62580.00 507.00 505.00
64184.00 507.00 506.00
65788.00 508.00 507.00
67392.00 508.00 506.00
69000.00 508.00 505.00
70608.00 509.00 502.00
72216.00 508.00 499.00
73832.00 508.00 498.00
75440.00 508.00 499.00
77056.00 508.00 500.00
78664.00 507.00 501.00
80272.00 508.00 503.00
81880.00 508.00 505.00
83488.00 509.00 506.00
85104.00 508.00 508.00
86704.00 508.00 508.00
88320.00 508.00 505.00
89928.00 508.00 503.00
91536.00 508.00 500.00
93144.00 507.00 498.00
94752.00 507.00 498.00
96368.00 508.00 500.00
97976.00 508.00 501.00
99592.00 508.00 502.00
101200.00 508.00 504.00
102852.00 508.00 505.00
104504.00 508.00 507.00
106156.00 507.00 508.00
107812.00 508.00 506.00
109460.00 508.00 505.00
111108.00 508.00 501.00
112764.00 508.00 499.00
114412.00 507.00 498.00
116064.00 508.00 500.00
117716.00 508.00 501.00
119364.00 508.00 502.00
121020.00 508.00 504.00
122668.00 508.00 505.00
124316.00 508.00 506.00
125972.00 508.00 508.00
127620.00 509.00 506.00
129276.00 508.00 504.00
