08 1023
18495080 508 1023
18496040 508 1023
18496996 508 1023
18497960 508 1023
18498920 508 1023
160 508 1023
18494120 508 1023
18495080 508 1023
18496040 508 1023
18496996 508 1023
18497960 508 1023
18498920 508 1023
Start

time_(μs) raw_current raw_low_voltage
316 467 960
1100 468 958
1832 470 960
2560 472 962
3296 475 964
4024 477 969
4752 479 971
5488 481 970
6224 484 971
6952 485 971
7680 488 973
8416 490 975
9144 492 977
9872 495 978
10608 496 981
11384 499 982
12156 501 983
12932 503 985
13712 505 987
14492 507 988
15260 507 990
16036 507 992
16816 508 994
17592 508 996
18364 508 998
19140 508 999
19924 508 1000
20748 508 1001
21572 508 1001
22392 508 1001
23208 508 1002
24028 507 1001
24852 508 1000
25676 508 1000
26496 508 1000
27312 508 1000
28132 509 1000
28956 508 1001
29780 508 1002
30600 508 1004
31416 509 1006
32236 508 1007
33060 508 1010
33884 508 1012
34704 508 1015
35520 508 1017
36344 508 1020
37168 508 1023
37992 508 1023
38808 508 1023
39624 508 1023
40448 508 1023
41268 508 1023
42092 508 1023
42912 508 1023
43728 508 1023
44548 508 1023
45376 508 1023
46200 508 1023
47016 508 1023
47832 508 1023
48656 508 1023
49476 508 1023
50304 508 1023
51120 508 1023
51936 508 1023
52756 508 1023
53584 508 1023
54408 509 1023
55224 508 1022
56040 508 1022
56860 507 1022
57688 508 1020
58508 508 1020
59328 509 1020
60144 508 1019
60968 508 1019
61792 509 1019
62616 508 1020
63432 509 1020
64248 508 1020
65068 508 1020
65892 508 1021
66720 508 1021
67536 508 1022
68352 508 1022
69176 508 1023
70000 508 1023
70824 508 1023
71640 508 1023
72456 509 1023
73280 508 1023
74104 507 1023
74928 508 1023
75744 508 1023
76560 508 1023
77384 508 1023
78208 508 1023
79032 508 1023
79848 508 1023
80664 508 1023
81484 508 1023
82312 508 1023
83136 508 1023
83952 508 1023
84768 508 1023
85592 508 1023
86416 508 1023
87236 508 1023
88056 508 1023
88872 508 1023
89688 508 1023
90508 508 1023
91336 508 1023
92152 508 1023
92968 508 1023
93784 508 1023
94608 508 1023
95432 508 1023
96248 508 1023
97064 508 1023
97880 508 1023
98704 509 1023
99528 508 1023
100344 509 1023
101204 508 1023
102068 508 1023
102940 508 1023
103800 508 1023
104664 508 1023
105528 509 1022
106388 508 1023
107252 508 1023
108120 508 1023
108984 508 1023
109848 508 1023
110712 508 1023
111572 508 1023
112436 508 1023
113300 508 1023
114168 508 1023
115032 509 1023
115900 508 1023
116760 508 1023
117620 509 1023
118484 508 1023
119352 508 1023
120220 508 1023
121080 508 1023
121944 508 1023
122804 508 1023
123668 507 1023
124536 508 1023
125400 508 1023
126268 508 1023
127128 508 1023
127988 508 1023
128852 508 1023
129716 508 1023
130576 508 1023
131440 508 1023
132304 508 1023
133168 508 1023
134028 508 1023
134884 508 1023
135752 508 1023
136616 508 1023
137480 508 1023
138348 508 1023
139204 508 1023
140068 507 1023
140932 508 1023
141800 508 1023
142664 508 1023
143532 508 1023
144392 508 1023
145252 508 1023
146116 508 1023
146984 508 1023
147852 508 1023
148712 508 1023
149580 508 1023
150436 508 1023
151300 507 1023
152172 508 1023
153036 508 1023
153900 508 1023
154768 508 1023
155628 508 1023
156492 507 1023
157356 508 1023
158228 508 1023
159092 508 1023
159956 508 1023
160820 508 1023
161684 508 1023
162548 508 1023
163412 508 1023
164272 509 1023
165136 508 1023
166000 508 1023
166860 508 1023
167724 508 1023
168580 508 1023
169448 508 1023
170312 508 1023
171176 508 1023
172044 508 1023
172900 508 1023
173764 507 1023
174632 508 1023
175496 508 1023
176364 508 1023
177224 508 1023
178084 508 1023
178948 508 1023
179820 508 1023
180680 508 1023
181544 508 1022
182412 508 1023
183268 509 1023
184132 508 1023
184996 508 1023
185864 508 1023
186728 508 1023
187592 508 1023
188460 508 1023
189316 507 1023
190180 508 1023
191052 508 1023
191916 508 1023
192780 508 1023
193648 508 1023
194508 508 1023
195372 508 1023
196236 508 1023
197104 508 1023
197972 508 1023
198836 508 1023
199700 508 1022
200556 508 1023
201420 508 1023
202292 508 1023
203152 508 1023
204020 508 1023
204892 508 1023
205744 508 1023
206604 507 1023
207472 508 1023
208336 508 1023
209200 508 1023
210064 508 1023
210924 508 1023
211788 508 1023
212652 508 1023
213520 508 1023
214388 508 1023
215252 508 1023
216112 508 1023
216972 509 1023
217836 508 1023
218704 508 1023
219572 508 1023
220436 508 1023
221300 508 1023
222156 508 1023
223020 508 1023
223884 507 1023
224756 508 1023
225620 508 1023
226480 508 1023
227344 508 1023
228204 508 1023
229068 507 1023
229940 508 1023
230804 508 1023
231664 508 1023
232532 508 1022
233388 508 1023
234252 508 1023
235124 508 1023
235988 508 1023
236852 509 1023
237712 508 1023
238572 508 1023
239436 508 1023
240300 508 1023
241172 508 1023
242036 508 1023
242900 508 1023
243764 508 1023
244620 508 1023
245484 508 1023
246356 509 1023
247220 508 1023
248080 508 1023
248944 508 1023
249804 508 1023
250668 508 1023
251532 508 1023
252404 508 1023
253268 508 1023
254132 507 1023
254996 509 1023
255852 508 1023
256716 508 1023
257584 508 1023
258448 508 1023
259312 508 1023
260176 508 1023
261036 508 1023
261900 508 1023
262768 508 1023
263632 508 1023
264500 508 1023
265360 508 1023
266220 508 1023
267084 508 1023
267948 508 1023
268820 508 1023
269680 508 1023
270544 508 1023
271412 508 1023
272268 508 1023
273132 508 1023
274004 508 1023
274864 508 1023
275732 508 1023
276596 508 1023
277452 508 1023
278316 508 1023
279180 508 1023
280052 508 1023
280916 508 1023
281780 508 1023
282640 508 1023
283500 508 1023
284364 508 1023
285236 508 1023
286100 508 1023
286964 508 1023
287824 508 1023
288684 508 1023
289548 508 1023
290416 507 1023
291280 508 1023
292144 508 1023
293012 508 1023
293868 508 1022
294732 508 1023
295596 508 1023
296468 508 1023
297340 508 1023
298204 508 1023
299068 508 1023
299924 508 1023
300788 508 1023
301660 508 1023
302532 508 1023
303396 508 1023
304260 508 1023
305124 508 1023
305988 508 1023
306852 507 1023
307724 508 1023
308592 508 1023
309460 508 1023
310324 508 1023
311180 508 1023
312052 508 1023
312924 508 1023
313788 508 1023
314652 508 1023
315516 508 1023
316380 508 1023
317244 508 1023
318108 508 1023
318980 508 1023
319852 508 1023
320724 508 1023
321592 508 1023
322452 508 1022
323316 508 1022
324184 508 1023
325048 508 1023
325916 508 1023
326780 507 1023
327636 508 1023
328500 507 1023
329364 508 1023
330224 508 1023
331092 508 1023
331956 508 1023
332820 508 1023
333676 508 1023
334532 507 1023
335400 508 1023
336264 508 1023
337128 508 1023
337992 509 1023
338852 508 1023
339716 508 1023
340588 508 1023
341448 508 1023
342316 508 1023
343180 508 1023
344044 508 1023
344908 508 1023
345772 508 1023
346640 508 1023
347508 508 1023
348372 508 1023
349236 508 1023
350092 508 1023
350956 508 1023
351828 508 1022
352692 508 1023
353564 508 1023
354428 508 1023
355284 509 1022
356148 508 1023
357012 508 1023
357884 508 1023
358756 508 1023
359624 508 1023
360492 508 1023
361348 508 1023
362212 507 1023
363084 508 1023
363948 508 1023
364812 508 1023
365672 508 1023
366532 508 1023
367396 508 1023
368260 509 1023
369132 508 1022
369992 507 1023
370860 508 1023
371724 508 1022
372580 509 1023
373444 507 1023
374316 508 1023
375180 509 1023
376052 508 1023
376916 508 1023
377772 508 1023
378636 508 1023
379508 508 1022
380380 508 1023
381252 508 1023
382124 508 1023
382996 508 1023
383852 508 1023
384716 508 1023
385588 508 1023
386452 508 1023
387316 509 1023
388180 508 1023
389036 508 1023
389900 507 1023
390772 508 1023
391636 508 1023
392500 508 1023
393372 508 1023
394228 508 1023
395092 508 1023
395956 508 1023
396828 508 1022
397696 508 1023
398564 508 1023
399428 508 1023
400284 508 1023
401148 507 1023
402020 508 1023
402880 508 1023
403748 508 1023
404612 508 1023
405468 508 1023
406332 507 1023
407196 508 1023
408068 508 1023
408940 508 1023
409804 507 1023
410672 508 1023
411532 508 1023
412396 508 1023
413264 508 1023
414128 508 1023
414992 508 1023
415856 507 1023
416716 508 1023
417580 508 1023
418444 508 1023
419312 508 1023
420180 509 1023
421040 508 1023
421904 508 1023
422764 508 1023
423628 508 1023
424500 508 1023
425360 508 1023
426224 508 1023
427092 508 1023
427948 507 1023
428812 508 1023
429680 508 1023
430548 508 1023
431412 507 1023
432276 508 1023
433132 508 1023
433996 508 1023
434860 507 1023
435732 508 1023
436596 508 1023
437460 508 1023
438324 508 1023
439180 508 1023
440044 507 1023
440912 508 1023
441780 508 1023
442640 508 1023
443508 508 1023
444364 508 1023
445228 508 1023
446092 508 1023
446964 508 1023
447828 508 1023
448692 508 1023
449560 509 1023
450420 508 1023
451284 508 1023
452152 508 1023
453020 508 1023
453884 509 1023
454748 508 1023
455604 509 1023
456468 508 1023
457340 508 1023
458204 509 1023
459068 508 1023
459940 508 1023
460812 508 1023
461676 508 1023
462532 508 1023
463404 508 1023
464268 508 1023
465128 508 1023
465996 508 1023
466852 508 1023
467716 508 1023
468588 508 1022
469452 508 1023
470316 508 1023
471188 508 1023
472052 508 1023
472916 508 1023
473780 508 1023
474652 508 1023
475516 508 1023
476380 508 1023
477252 508 1023
478116 508 1022
478980 509 1023
479852 508 1023
480724 508 1023
481596 509 1023
482460 508 1023
483316 507 1023
484180 507 1023
485044 508 1023
485916 508 1023
486780 508 1023
487652 507 1023
488516 508 1023
489380 507 1023
490244 508 1023
491116 507 1023
491980 508 1023
492852 508 1023
493712 508 1023
494572 508 1023
495436 508 1023
496300 509 1023
497172 508 1023
498036 508 1023
498900 508 1023
499764 508 1023
500620 508 1023
501484 508 1023
502356 508 1023
503220 508 1023
504092 508 1023
504956 508 1023
505812 508 1023
506676 508 1023
507540 507 1023
508412 508 1023
509284 508 1023
510156 508 1023
511028 508 1023
511896 508 1023
512760 509 1023
513624 508 1023
514488 507 1023
515352 508 1023
516220 508 1023
517076 508 1023
517940 508 1023
518804 508 1023
519672 509 1023
520540 508 1023
521412 508 1023
522276 509 1023
523132 507 1022
523996 508 1023
524868 507 1023
525728 508 1023
526596 508 1023
527460 508 1023
528316 509 1023
529180 508 1023
530052 508 1023
530916 508 1023
531780 508 1023
532652 509 1023
533520 508 1023
534380 508 1023
535244 508 1023
536116 508 1023
536980 508 1023
537844 508 1023
538704 508 1023
539564 507 1023
540428 508 1023
541300 508 1023
542164 508 1023
543028 508 1023
543892 508 1023
544756 508 1023
545620 508 1023
546484 508 1023
547356 508 1023
548220 508 1023
549092 507 1023
549956 507 1023
550820 508 1023
551684 508 1023
552556 508 1023
553420 508 1023
554292 508 1023
555164 508 1023
556020 508 1023
556884 507 1023
557748 508 1023
558620 508 1023
559492 508 1023
560364 508 1023
561236 508 1023
562092 508 1023
562956 508 1023
563828 508 1023
564700 508 1023
565564 508 1023
566428 508 1023
567292 508 1023
568156 508 1022
569020 508 1023
569892 508 1023
570756 508 1023
571620 508 1023
572492 508 1023
573356 508 1023
574224 508 1023
575092 508 1023
575964 508 1023
576836 508 1023
577704 508 1023
578572 508 1023
579428 508 1023
580292 508 1023
581164 508 1023
582028 508 1023
582892 508 1023
583756 508 1023
584612 508 1023
585476 508 1023
586348 508 1023
587220 508 1023
588084 508 1023
588948 508 1023
589804 507 1023
590668 508 1023
591532 509 1023
592404 508 1023
593276 508 1023
594140 508 1023
595012 508 1023
595868 508 1023
596732 509 1023
597604 508 1023
598476 508 1023
599348 509 1023
600220 508 1023
601084 509 1023
601956 508 1023
602820 508 1023
603692 508 1023
604564 508 1023
605436 508 1023
606300 508 1023
607164 508 1023
608028 508 1023
608900 508 1023
609764 508 1023
610636 508 1023
611500 508 1023
612372 508 1023
613236 508 1022
614100 508 1023
614972 508 1023
615844 508 1023
616708 508 1023
617572 508 1023
618428 508 1023
619292 508 1023
620164 508 1023
621036 508 1023
621900 508 1023
622764 508 1023
623636 507 1023
624500 508 1023
625364 508 1023
626236 508 1023
627100 508 1023
627972 508 1023
628844 508 1023
629708 508 1023
630572 507 1023
631436 508 1023
632308 508 1023
633180 508 1023
634052 508 1023
634924 508 1023
635788 508 1023
636652 508 1023
637524 508 1023
638396 508 1023
639268 508 1023
640140 507 1023
641004 509 1023
641868 507 1023
642732 508 1023
643604 508 1023
644464 508 1023
645332 508 1023
646196 508 1023
647052 508 1023
647916 507 1023
648788 508 1023
649652 508 1023
650516 508 1023
651380 508 1023
652236 508 1023
653100 508 1023
653964 508 1023
654836 508 1023
655708 508 1023
656576 508 1023
657440 509 1023
658300 507 1022
659164 508 1023
660036 508 1023
660896 508 1023
661760 508 1023
662624 508 1023
663484 508 1023
664348 508 1023
665216 508 1023
666084 508 1023
666944 508 1023
667808 508 1023
668668 508 1023
669532 508 1023
670396 508 1023
671268 508 1023
672140 508 1023
673000 508 1023
673864 508 1023
674724 508 1023
675588 508 1023
676460 508 1023
677324 508 1023
678188 508 1023
679052 508 1023
679908 508 1023
680772 508 1023
681636 508 1023
682504 508 1023
683372 508 1023
684236 508 1023
685100 509 1023
685956 508 1023
686820 508 1023
687692 508 1023
688556 508 1023
689420 507 1023
690284 508 1023
691140 508 1023
692004 508 1023
692868 508 1023
693740 508 1023
694604 508 1023
695476 508 1023
696340 508 1023
697204 508 1023
698068 508 1023
698940 509 1023
699804 508 1023
700668 508 1023
701532 508 1023
702396 507 1023
703260 508 1023
704132 508 1023
705004 508 1023
705868 508 1023
706732 507 1023
707596 508 1023
708452 508 1023
709316 508 1023
710188 508 1023
711060 508 1023
711932 508 1023
712804 508 1023
713668 508 1023
714532 508 1023
715396 508 1023
716268 508 1023
717140 508 1023
718012 508 1023
718876 508 1023
719732 508 1023
720596 508 1023
721468 508 1023
722332 508 1023
723196 508 1023
724060 509 1023
724924 508 1023
725788 508 1023
726660 508 1023
727524 508 1023
728396 508 1023
729260 508 1023
730124 508 1023
730988 508 1023
731852 508 1023
732724 508 1023
733596 508 1023
734468 507 1023
735340 508 1023
736204 508 1023
737068 508 1023
737932 508 1023
738804 508 1023
739668 507 1023
740532 508 1023
741396 508 1023
742252 508 1023
743116 508 1023
743988 508 1023
744860 508 1023
745732 508 1023
746596 508 1023
747452 508 1023
748316 508 1023
749188 508 1023
750060 508 1023
750932 508 1023
751804 508 1023
752676 508 1023
753540 509 1023
754404 509 1023
755276 508 1023
756148 508 1023
757012 508 1023
757884 508 1023
758748 508 1023
759612 508 1023
760476 508 1023
761348 508 1023
762220 508 1023
763092 508 1023
763964 508 1023
764828 508 1023
765692 507 1023
766564 508 1023
767436 508 1023
768308 508 1023
769176 508 1023
770036 508 1023
770900 508 1023
771764 508 1023
772636 508 1023
773508 508 1023
774380 508 1023
775252 508 1023
776116 508 1023
776980 508 1023
777852 508 1023
778716 508 1022
779588 508 1023
780460 508 1023
781332 508 1023
782196 508 1023
783060 509 1023
783932 508 1023
784804 508 1023
785676 508 1023
786540 508 1023
787404 508 1023
788268 508 1023
789132 508 1023
790004 508 1023
790868 508 1023
791740 508 1023
792612 508 1022
793476 508 1023
794344 508 1023
795212 508 1023
796084 508 1023
796956 508 1023
797828 508 1023
798692 508 1023
799560 508 1023
800420 508 1023
801288 508 1023
802152 508 1023
803020 508 1023
803884 508 1023
804748 508 1023
805620 508 1023
806492 507 1023
807356 508 1023
808220 508 1023
809092 508 1023
809948 508 1023
810812 508 1023
811676 508 1023
812548 508 1023
813420 508 1023
814292 508 1023
815164 508 1023
816028 509 1023
816892 508 1023
817764 508 1023
818628 508 1023
819500 508 1023
820368 508 1023
821228 508 1023
822092 508 1023
822956 508 1023
823828 508 1023
824692 508 1023
825552 508 1023
826420 509 1023
827276 508 1023
828148 508 1023
829020 507 1023
829884 508 1023
830744 508 1023
831612 508 1023
832468 507 1023
833332 508 1023
834196 508 1023
835068 508 1023
835932 508 1023
836796 508 1023
837660 508 1023
838516 508 1023
839380 508 1023
840252 508 1023
841112 508 1023
841980 508 1023
842844 508 1023
843700 508 1023
844564 508 1023
845436 507 1023
846300 508 1023
847164 508 1023
848028 508 1023
848884 508 1023
849748 508 1023
850612 508 1023
851484 508 1023
852348 508 1023
853212 508 1023
854076 508 1023
854932 509 1022
855796 508 1023
856668 507 1023
857540 509 1023
858404 508 1023
859276 508 1023
860132 508 1022
860996 508 1023
861860 508 1023
862732 508 1023
863596 508 1023
864460 507 1023
865332 508 1023
866188 508 1023
867052 508 1023
867924 508 1023
868796 508 1023
869660 508 1023
870532 508 1023
871396 508 1023
872260 508 1023
873124 508 1023
873996 508 1023
874860 508 1023
875732 509 1023
876604 508 1023
877460 508 1023
878324 508 1023
879196 508 1023
880068 508 1023
880940 508 1023
881804 508 1023
882660 508 1023
883524 508 1023
884388 508 1022
885260 508 1023
886124 508 1023
886988 508 1023
887852 508 1023
888708 508 1023
889572 507 1023
890444 508 1023
891316 508 1023
892180 509 1023
893052 508 1023
893908 508 1023
894772 508 1023
895636 508 1023
896508 508 1023
897376 508 1023
898244 508 1023
899108 508 1023
899964 509 1022
900828 508 1023
901700 508 1023
902564 507 1023
903424 509 1023
904292 508 1023
905148 508 1023
906012 508 1023
906884 508 1023
907748 508 1023
908612 508 1023
909484 508 1023
910356 508 1023
911212 508 1023
912076 508 1023
912948 508 1023
913812 508 1023
914684 508 1023
915556 508 1023
916420 508 1023
917284 508 1023
918148 508 1023
919020 508 1023
919892 508 1023
920764 509 1023
921636 509 1023
922500 508 1023
923364 507 1023
924236 508 1023
925100 508 1023
925964 508 1023
926836 508 1023
927700 508 1023
928564 508 1023
929428 508 1022
930300 508 1023
931164 508 1023
932036 508 1023
932908 508 1023
933764 508 1023
934628 507 1023
935500 508 1023
936364 508 1023
937236 508 1023
938108 508 1023
938972 508 1023
939836 508 1023
940700 508 1023
941572 508 1023
942444 508 1023
943316 508 1023
944180 508 1023
945044 508 1023
945908 508 1023
946780 508 1023
947652 508 1023
948524 508 1023
949388 508 1023
950244 507 1023
951108 508 1023
951972 508 1023
952844 508 1023
953716 508 1023
954588 508 1023
955460 508 1023
956324 507 1023
957188 508 1023
958060 508 1023
958932 508 1023
959804 509 1023
960676 508 1023
961548 508 1023
962404 508 1023
963268 508 1023
964140 508 1023
965004 508 1023
965868 508 1023
966732 508 1023
967588 508 1023
968452 508 1023
969324 508 1023
970188 508 1023
971060 508 1023
971932 509 1023
972800 508 1023
973668 507 1023
974532 508 1023
975404 508 1023
976276 508 1023
977140 508 1023
978012 508 1023
978876 508 1023
979740 508 1023
980612 508 1023
981484 508 1023
982356 508 1023
983228 508 1023
984100 508 1023
984956 508 1023
985820 508 1022
986692 508 1023
987556 507 1023
988420 508 1023
989284 508 1023
990140 508 1023
991004 508 1023
991876 508 1023
992748 508 1023
993620 508 1023
994484 508 1023
995348 508 1023
996204 508 1023
997068 508 1023
997940 508 1023
998812 508 1023
999684 508 1023
1000548 508 1023
1001452 525 144
1002316 587 488
1003180 560 470
1004052 550 472
1004924 547 443
1005784 545 453
