
Start

time_(μs) raw_current raw_low_voltage
316 515 967
1092 512 973
1808 509 981
2532 508 989
3264 509 971
3984 508 960
4704 508 957
5432 508 957
6160 508 959
6880 508 965
7604 508 975
8336 508 987
9056 508 992
9776 508 989
10504 508 983
11272 508 978
12036 508 974
12808 508 975
13576 508 978
14348 507 981
15108 507 990
15884 508 996
16660 508 1002
17468 508 1009
18280 508 1016
19088 509 1002
19900 508 999
20676 508 996
21436 508 997
22204 508 999
22980 508 1001
23788 508 1004
24604 508 1007
25416 508 1013
26224 508 1018
27036 508 1023
27852 508 1023
28664 508 1023
29472 508 1023
30284 507 1023
31104 508 1023
31920 508 1023
32728 508 1023
33536 508 1023
34348 508 1023
35164 508 1023
35984 508 1023
36792 508 1023
37600 508 1023
38412 508 1023
39228 508 1023
40044 508 1023
40856 508 1023
41664 508 1023
42476 508 1023
43292 508 1023
44108 508 1023
44920 508 1023
45728 508 1023
46540 508 1023
47356 508 1023
48176 507 1023
48984 508 1023
49792 508 1023
50608 508 1023
51424 509 1023
52236 507 1023
53048 509 1023
53856 508 1023
54668 508 1023
55484 507 1023
56296 508 1023
57104 509 1023
57920 508 1023
58732 508 1023
59552 508 1023
60360 508 1023
61168 508 1023
61984 508 1023
62800 508 1023
63612 508 1023
64424 508 1023
65232 508 1023
66044 508 1023
66860 508 1023
67676 508 1023
68488 509 1023
69296 508 1023
70108 508 1023
70928 508 1023
71744 508 1023
72552 508 1023
73360 508 1023
74176 509 1023
74992 508 1023
75808 508 1023
76616 508 1023
77424 508 1023
78240 508 1023
79056 508 1023
79864 508 1023
80672 508 1023
81484 508 1023
82304 508 1023
83116 508 1023
83928 508 1023
84736 508 1023
85548 508 1023
86368 508 1023
87184 508 1023
87992 508 1023
88800 508 1023
89612 508 1023
90428 508 1023
91244 508 1023
92056 507 1023
92864 508 1023
93676 508 1023
94496 508 1023
95312 508 1023
96120 509 1023
96928 508 1023
97744 508 1023
98560 509 1023
99372 508 1023
100184 507 1023
101036 508 1023
101900 508 1023
102756 508 1023
103608 509 1023
104464 509 1023
105316 508 1023
106164 508 1023
107024 508 1023
107880 508 1023
108736 508 1023
109592 508 1023
110444 508 1023
111300 508 1023
112164 508 1023
113016 508 1023
113872 508 1023
114728 507 1023
115580 508 1023
116436 508 1023
117296 508 1023
118152 508 1023
119012 508 1023
119868 508 1023
120716 508 1023
121572 508 1023
122436 508 1023
123288 508 1023
124144 508 1023
125000 508 1023
125852 508 1023
126708 508 1023
127572 509 1023
128428 508 1023
129280 508 1023
130136 508 1023
130988 508 1023
131844 508 1023
132704 508 1023
133560 508 1023
134416 509 1023
135272 508 1023
136124 508 1023
136980 508 1023
137840 508 1023
138696 508 1023
139552 508 1023
