9 1023
31877824 508 1023
31878776 509 1023
31879728 509 1023
31880680 509 1023
3
31874984 509 1023
31875932 509 1023
31876876 509 1023
31877824 508 1023
31878776 509 1023
31879728 509 1023
31880680 509 1023
Start

time_(μs) raw_current raw_low_voltage
316 517 976
1092 513 974
1816 511 981
2544 510 992
3272 510 1001
4036 509 1009
4804 508 1008
5576 509 1008
6348 509 1009
7108 510 1010
7876 509 1011
8648 508 1011
9416 508 1013
10180 508 1015
10992 509 1023
11804 508 1023
12620 508 1023
13436 509 1023
14248 509 1023
15056 509 1023
15868 509 1023
16684 508 1023
17500 509 1023
18312 509 1023
19120 509 1023
19936 509 1023
20748 509 1023
21564 509 1023
22376 508 1023
23184 508 1023
23996 509 1023
24816 508 1023
25628 509 1023
26440 509 1023
27248 509 1023
28060 509 1023
28876 508 1023
29688 508 1023
30496 509 1023
31312 509 1023
32128 509 1023
32940 509 1023
33752 509 1023
34560 509 1023
35372 508 1023
36188 509 1023
37004 508 1023
37816 508 1023
38624 509 1023
39436 509 1023
40256 509 1023
41068 509 1023
41880 508 1023
42688 509 1023
43500 509 1023
44320 509 1023
45132 508 1023
45944 509 1023
46752 509 1023
47564 510 1023
48384 509 1023
49196 508 1023
50008 508 1023
50816 509 1023
51632 509 1023
52444 509 1023
53260 509 1023
54072 508 1023
54880 509 1023
55692 509 1023
56512 509 1023
57320 509 1023
58128 508 1023
58944 509 1023
59760 509 1023
60576 510 1023
61384 509 1023
62192 509 1023
63008 508 1023
63824 508 1023
64640 509 1023
65448 509 1023
66256 509 1023
67068 509 1023
67884 509 1023
68700 509 1023
69512 509 1023
70320 509 1023
71136 509 1023
71952 509 1023
72768 509 1023
73576 509 1023
74384 509 1023
75200 509 1023
76016 508 1023
76832 509 1023
77640 509 1023
78448 509 1023
79264 509 1023
80080 508 1023
80888 509 1023
81696 509 1023
82512 508 1023
83324 509 1023
84140 509 1023
84952 509 1023
85760 509 1023
86572 508 1023
87388 510 1023
88208 509 1023
89016 508 1023
89824 508 1023
90636 508 1023
91456 509 1023
92272 509 1023
93080 509 1023
93888 509 1023
94704 508 1023
95520 509 1023
96336 509 1023
97144 508 1023
97952 509 1023
98768 508 1023
99584 509 1023
100400 509 1023
101252 509 1023
102108 508 1023
102972 508 1023
103824 509 1023
104680 509 1023
105536 509 1023
106388 509 1023
107244 508 1023
108104 509 1023
108960 509 1023
109816 509 1023
110672 509 1023
111524 508 1023
112380 508 1023
113240 509 1023
114096 510 1023
114952 509 1023
115812 508 1023
116660 509 1023
117516 508 1023
118380 508 1023
119236 509 1023
120088 509 1023
120944 509 1023
121796 509 1023
122652 509 1023
123516 509 1023
124372 509 1023
125224 509 1023
126080 509 1023
126932 508 1023
127788 509 1023
128644 509 1023
129504 508 1023
130360 509 1023
131216 509 1023
132068 509 1023
132916 509 1023
133764 509 1023
134624 509 1023
135480 508 1023
136336 509 1023
137188 509 1023
138044 509 1023
138900 509 1023
139760 508 1023
140616 510 1023
141476 510 1023
142324 508 1023
143180 509 1023
144036 509 1023
144896 508 1023
145752 508 1023
146612 509 1023
147464 509 1023
148316 509 1023
149172 509 1023
150032 509 1023
150892 510 1023
151748 509 1023
152604 509 1023
153452 509 1023
154308 510 1023
155168 508 1023
156028 508 1023
156880 508 1023
157736 509 1023
158588 510 1023
159444 509 1023
160308 508 1023
161160 509 1023
162016 508 1023
162872 509 1023
163724 508 1023
164588 509 1023
165448 509 1023
166304 509 1023
167160 510 1023
168016 509 1023
168868 508 1023
169716 508 1023
170576 509 1023
171432 509 1023
172288 509 1023
173144 508 1023
173996 508 1023
174852 509 1023
175712 509 1023
176572 508 1023
177424 509 1023
178280 509 1023
179132 509 1023
179988 509 1023
180848 510 1023
181704 510 1023
182564 508 1023
183416 509 1023
184268 509 1023
185124 509 1023
185980 509 1023
186840 508 1023
187696 509 1023
188552 509 1023
189404 509 1023
190260 509 1023
191116 508 1023
191980 509 1023
192836 509 1023
193696 509 1023
194548 509 1023
195404 508 1023
196260 508 1023
197120 508 1023
197976 510 1023
198836 508 1023
199688 509 1023
200540 509 1023
201396 509 1023
202260 509 1023
203112 509 1023
203972 509 1023
204836 509 1023
205692 508 1023
206540 509 1023
207392 510 1023
208248 509 1023
209104 508 1023
209960 508 1023
210812 509 1023
211660 509 1023
212520 508 1023
213376 508 1023
214236 509 1023
215092 509 1023
215940 509 1023
216796 509 1023
217660 508 1023
218512 509 1023
219368 509 1023
220224 509 1023
221076 509 1023
221932 508 1023
222796 509 1023
223652 508 1023
224508 509 1023
225360 508 1023
226212 508 1023
227068 508 1023
227932 509 1023
228784 508 1023
229644 509 1023
230500 509 1023
231348 509 1023
232204 509 1023
233064 509 1023
233920 510 1023
234780 509 1023
235636 508 1023
236484 509 1023
237340 508 1023
238204 509 1023
239060 509 1023
239916 509 1023
240772 509 1023
241628 509 1023
242484 508 1023
243340 509 1023
244200 509 1023
245056 508 1023
245916 509 1023
246764 509 1023
247620 510 1023
248476 509 1023
249336 509 1023
250196 508 1023
251052 509 1023
251900 509 1023
252756 509 1023
253612 509 1023
254472 509 1023
255332 509 1023
256188 508 1023
257048 510 1023
257900 509 1023
258748 508 1023
259608 509 1023
260464 509 1023
261320 509 1023
262176 509 1023
263028 509 1023
263884 508 1023
264744 509 1023
265600 508 1023
266456 509 1023
267312 509 1023
268164 509 1023
269020 509 1023
269880 510 1023
270736 508 1023
271592 509 1023
272452 509 1023
273300 509 1023
274156 509 1023
275020 509 1023
275876 509 1023
276732 510 1023
277588 508 1023
278436 509 1023
279292 508 1023
280156 510 1023
281012 508 1023
281868 509 1023
282720 509 1023
283572 508 1023
284428 509 1023
285288 509 1023
286148 509 1023
287004 509 1023
287856 509 1023
288708 508 1023
289564 509 1023
290424 508 1023
291280 509 1023
292136 508 1023
292996 509 1023
293844 509 1023
294700 508 1023
295556 508 1023
296420 509 1023
297276 509 1023
298132 509 1023
298980 508 1023
299836 509 1023
300692 509 1023
301556 509 1023
302420 509 1023
303284 508 1023
304140 508 1023
304996 509 1023
305852 509 1023
306716 509 1023
307580 509 1023
308440 509 1023
309296 509 1023
310148 508 1023
311004 509 1023
311868 508 1023
312724 508 1023
313588 509 1023
314444 509 1023
315300 509 1023
316156 509 1023
317020 508 1023
317884 508 1023
318748 509 1023
319604 509 1023
320452 508 1023
321308 509 1023
322168 509 1023
323024 509 1023
323884 509 1023
324736 510 1023
325588 509 1023
326444 510 1023
327300 509 1023
328164 509 1023
329016 509 1023
329872 508 1023
330724 508 1023
331580 508 1023
332436 508 1023
333300 508 1023
334152 509 1023
335008 509 1023
335860 508 1023
336716 509 1023
337572 508 1023
338436 509 1023
339288 509 1023
340144 508 1023
341000 510 1023
341852 509 1023
342708 508 1023
343572 508 1023
344428 509 1023
345280 508 1023
346136 509 1023
346988 508 1023
347844 509 1023
348708 509 1023
349564 509 1023
350420 509 1023
351276 509 1023
352124 508 1023
352980 509 1023
353840 509 1023
354696 509 1023
355556 509 1023
356412 508 1023
357260 508 1023
358116 509 1023
358980 509 1023
359840 509 1023
360696 509 1023
361552 509 1023
362404 508 1023
363260 509 1023
364124 509 1023
364980 509 1023
365832 509 1023
366692 509 1023
367540 510 1023
368396 509 1023
369260 509 1023
370112 508 1023
370972 509 1023
371828 509 1023
372676 509 1023
373532 508 1023
374396 509 1023
375252 509 1023
376116 509 1023
376972 509 1023
377820 509 1023
378676 509 1023
379532 508 1023
380396 509 1023
381252 509 1023
382108 509 1023
382956 509 1023
383812 509 1023
384668 509 1023
385528 508 1023
386388 509 1023
387244 509 1023
388092 509 1023
388948 509 1023
389804 508 1023
390664 508 1023
391520 509 1023
392380 509 1023
393236 508 1023
394084 509 1023
394940 509 1023
395804 509 1023
396660 508 1023
397516 509 1023
398380 508 1023
399236 508 1023
400092 509 1023
400952 509 1023
401812 509 1023
402668 510 1023
403524 509 1023
404372 509 1023
405228 509 1023
406092 509 1023
406948 509 1023
407804 510 1023
408668 509 1023
409524 508 1023
410380 508 1023
411240 509 1023
412096 508 1023
412952 509 1023
413808 508 1023
414660 509 1023
415516 509 1023
416380 509 1023
417232 509 1023
418088 508 1023
418944 509 1023
419796 509 1023
420652 510 1023
421508 509 1023
422372 508 1023
423228 508 1023
424080 509 1023
424932 509 1023
425788 508 1023
426644 508 1023
427504 509 1023
428364 509 1023
429220 508 1023
430068 509 1023
430924 509 1023
431780 509 1023
432644 509 1023
433496 509 1023
434356 509 1023
435212 509 1023
436060 509 1023
436916 508 1023
437780 509 1023
438632 508 1023
439492 509 1023
440348 509 1023
441196 508 1023
442052 509 1023
442912 508 1023
443772 509 1023
444628 509 1023
445484 509 1023
446332 509 1023
447188 509 1023
448052 509 1023
448912 508 1023
449772 508 1023
450628 509 1023
451476 509 1023
452332 509 1023
453196 509 1023
454052 509 1023
454908 509 1023
455764 509 1023
456612 509 1023
457468 510 1023
458332 509 1023
459188 508 1023
460044 509 1023
460908 510 1023
461756 509 1023
462612 508 1023
463476 508 1023
464332 509 1023
465184 508 1023
466044 509 1023
466892 509 1023
467748 508 1023
468604 509 1023
469468 509 1023
470324 509 1023
471188 508 1023
472044 509 1023
472900 509 1023
473756 509 1023
474620 509 1023
475476 508 1023
476332 509 1023
477196 508 1023
478044 510 1023
478900 508 1023
479764 509 1023
480628 509 1023
481492 509 1023
482344 509 1023
483196 508 1023
484052 508 1023
484916 509 1023
485772 509 1023
486628 509 1023
487480 509 1023
488332 509 1023
489188 509 1023
490052 508 1023
490908 509 1023
491764 508 1023
492616 509 1023
493468 509 1023
494324 509 1023
495188 509 1023
496044 509 1023
496904 508 1023
497760 509 1023
498612 509 1023
499468 509 1023
500328 508 1023
501188 509 1023
502044 509 1023
502900 509 1023
503748 508 1023
504604 509 1023
505468 509 1023
506324 509 1023
507188 509 1023
508044 508 1023
508900 509 1023
509756 508 1023
510612 509 1023
511476 508 1023
512340 508 1023
513200 509 1023
514056 510 1023
514908 509 1023
515764 509 1023
516624 508 1023
517484 509 1023
518336 509 1023
519196 510 1023
520044 509 1023
520900 509 1023
521760 510 1023
522616 509 1023
523472 509 1023
524332 509 1023
525180 508 1023
526036 509 1023
526900 509 1023
527756 510 1023
528612 509 1023
529468 508 1023
530316 508 1023
531172 509 1023
532036 509 1023
532900 508 1023
533752 509 1023
534612 509 1023
535460 509 1023
536316 508 1023
537180 508 1023
538036 509 1023
538896 509 1023
539752 509 1023
540604 509 1023
541460 509 1023
542324 509 1023
543180 508 1023
544036 510 1023
544896 508 1023
545748 509 1023
546604 509 1023
547460 509 1023
548324 509 1023
549180 509 1023
550036 508 1023
550884 509 1023
551740 509 1023
552596 509 1023
553460 508 1023
554324 510 1023
555180 509 1023
556044 508 1023
556900 509 1023
557756 508 1023
558620 509 1023
559484 509 1023
560340 509 1023
561204 509 1023
562052 508 1023
562908 509 1023
563772 509 1023
564636 509 1023
565492 509 1023
566348 509 1023
567196 509 1023
568052 509 1023
568916 508 1023
569772 508 1023
570628 509 1023
571484 509 1023
572332 510 1023
573188 508 1023
574052 508 1023
574916 509 1023
575772 509 1023
576628 509 1023
577484 508 1023
578340 509 1023
579196 508 1023
580060 509 1023
580924 511 1023
581780 509 1023
582628 509 1023
583484 508 1023
584340 510 1023
585204 509 1023
586060 508 1023
586916 509 1023
587764 509 1023
588620 508 1023
589476 509 1023
590340 508 1023
591196 509 1023
592060 509 1023
592924 509 1023
593772 509 1023
594628 509 1023
595492 508 1023
596348 508 1023
597204 509 1023
598068 508 1023
598924 508 1023
599780 510 1023
600644 509 1023
601508 509 1023
602364 508 1023
