Start

time_(μs) raw_current raw_low_voltage
316 518 1019
1136 513 999
1856 511 995
2576 510 993
3304 509 992
4024 510 995
4744 509 995
5472 509 996
6200 509 1000
6964 509 1007
7732 510 1015
8508 509 1021
9272 509 1022
10036 509 1020
10848 509 1020
11660 509 1022
12476 509 1023
13288 509 1023
14096 509 1023
14908 509 1023
15724 509 1023
16540 509 1023
17352 509 1023
18160 509 1023
18972 509 1023
19788 509 1023
20604 510 1023
21416 509 1023
22224 509 1023
23036 509 1023
23856 509 1023
24668 509 1023
25480 509 1023
26288 509 1023
27100 509 1023
27916 509 1023
28736 509 1023
29544 509 1023
30352 509 1023
31168 509 1023
31984 510 1023
32800 509 1023
33608 509 1023
34416 509 1023
35228 509 1023
36044 508 1023
36856 510 1023
37664 509 1023
38480 510 1023
39292 509 1023
40112 509 1023
40920 508 1023
41728 509 1023
42540 509 1023
43360 508 1023
44172 509 1023
44984 510 1023
45792 509 1023
46608 509 1023
47420 509 1023
48236 509 1023
49048 509 1023
49856 510 1023
50672 509 1023
51488 509 1023
52300 509 1023
53112 509 1023
53920 509 1023
54732 508 1023
55548 509 1023
56368 509 1023
57176 509 1023
57984 509 1023
58796 509 1023
59616 509 1023
60432 509 1023
61240 510 1023
62048 509 1023
62864 508 1023
63680 509 1023
64488 509 1023
65296 509 1023
66108 509 1023
66924 510 1023
67740 508 1023
68552 509 1023
69360 509 1023
70172 509 1023
70992 509 1023
71808 509 1023
72616 509 1023
73424 509 1023
74240 510 1023
75052 509 1023
75872 509 1023
76680 508 1023
77488 509 1023
78300 509 1023
79120 508 1023
79936 509 1023
80744 509 1023
81552 509 1023
82368 509 1023
83180 509 1023
84000 509 1023
84808 509 1023
85616 509 1023
86432 509 1023
87244 510 1023
88056 509 1023
88864 509 1023
89680 509 1023
90492 509 1023
91308 509 1023
92120 509 1023
92928 509 1023
93740 508 1023
94560 509 1023
95376 509 1023
96184 509 1023
96992 510 1023
97808 509 1023
98624 509 1023
99440 508 1023
100248 509 1023
101100 510 1023
101964 509 1023
102820 509 1023
103672 508 1023
104528 509 1023
105380 509 1023
106228 510 1023
107088 509 1023
107944 509 1023
108800 510 1023
109656 509 1023
110508 509 1023
111364 509 1023
112224 509 1023
113080 509 1023
113936 510 1023
114792 510 1023
115644 509 1023
116500 509 1023
117360 509 1023
118216 509 1023
119076 510 1023
119932 508 1023
120780 508 1023
121636 509 1023
122492 509 1023
123352 509 1023
124208 509 1023
125064 510 1023
125916 508 1023
126772 509 1023
127628 510 1023
128492 509 1023
